Name,Adresse,Telefon,Website,E-Mail,Quelle
Mima UG,"Autogenstr. 50 
                                                                                    
                                                                                                                
                                            65933
                                            Frankfurt
                                                                                            (Griesheim)",,https://mimabau.de/,majanik79@gmail.com,11880
AS Bedachungen,"Alt-Zeilsheim 44 
                                                                                    
                                                                                                                
                                            65931
                                            Frankfurt
                                                                                            (Zeilsheim)",,http://www.asbedachungen.de/,info@asbedachungen.de,11880
Heizungsmeisterei Duman,"Halmstr. 2 
                                                                                    
                                                                                                                
                                            60327
                                            Frankfurt
                                                                                            (Gutleutviertel)",,https://heizungsmeisterei-duman.de,duman@heizungsmeisterei-duman.de,11880
Abendroth Heiztec,"Lochmühlstr. 1 
                                                                                    
                                                                                                                
                                            60437
                                            Frankfurt
                                                                                            (Nieder-Erlenbach)",,http://www.abendroth-heizung.de,info@abendroth-heizung.de,11880
Cuffaro Bau GmbH,"An den Gerlachswiesen 6 
                                                                                    
                                                                                                                
                                            60388
                                            Frankfurt
                                                                                            (Bergen-Enkheim)",,https://cuffarobau.de,info@cuffarobau.de,11880
Achahboun Heizung Sanitär,"West-Höchster Str. 65 
                                                                                    
                                                                                                                
                                            65931
                                            Frankfurt
                                                                                            (Zeilsheim)",,http://www.achahboun-shk.de,,11880
Andreas Richter Meisterbetrieb Sanitär Heizung Klima GmbH,"Zur Untermühle 45 
                                                                                    
                                                                                                                
                                            60437
                                            Frankfurt
                                                                                            (Harheim)",,http://www.richter-shk.de/,kontakt@richter-shk.de,11880
Gebatec Gebäude- und Versorgungstechnik GmbH,"An der Welle 4 
                                                                                    
                                                                                                                
                                            60322
                                            Frankfurt
                                                                                            (Westend-Süd)",,https://gebatec.gmbh,info@gebatec.gmbh,11880
HLS Anlagenbau GmbH & Co KG,"Am Wäldchen 7 
                                                                                    
                                                                                                                
                                            65929
                                            Frankfurt
                                                                                            (Höchst)",,,hlsanlagenbau@hotmail.de,11880
Jordan & Kremer GmbH,"Sandweg 147 
                                                                                    
                                                                                                                
                                            60316
                                            Frankfurt
                                                                                            (Nordend-Ost)",,https://www.jordanundkremer.de/,info@jordanundkremer.de,11880
Karl Lotz GmbH & Co. KG,"Berger Str. 448 a
                                                                                    
                                                                                                                
                                            60385
                                            Frankfurt
                                                                                            (Bornheim)",,https://www.lotz-karl.de,info@lotz-karl.de,11880
WIGA GmbH Wartung-,"Boskoopstr. 73 
                                                                                    
                                                                                                                
                                            60435
                                            Frankfurt
                                                                                            (Preungesheim)",,https://www.wartung-gasgeraete.de,,11880
Zieg + Liphardt GmbH & Co.KG,"Neuhofstr. 43 
                                                                                    
                                                                                                                
                                            60318
                                            Frankfurt
                                                                                            (Nordend-West)",,http://www.zieg-liphardt.de/,kontakt@zieg-liphardt.de,11880
Akin Bülent Installationsbetrieb,"Mathildenstr. 21 
                                                                                    
                                                                                                                
                                            60599
                                            Frankfurt
                                                                                            (Oberrad)",,,firmaakin@gmx.de,11880
Energiepro e.K.,"Berner Str. 107 
                                                                                    
                                                                                                                
                                            60437
                                            Frankfurt
                                                                                            (Nieder-Eschbach)",,https://www.energiepro.de,,11880
Energiepro Service- und Instandhaltungsmanagement TGA GmbH,"Berner Str. 107 
                                                                                    
                                                                                                                
                                            60437
                                            Frankfurt
                                                                                            (Nieder-Eschbach)",,https://www.energiepro.de,,11880
IBH Ingenieurbau für Haustechnik GmbH,"Schweinfurter Weg 51 
                                                                                    
                                                                                                                
                                            60599
                                            Frankfurt
                                                                                            (Sachsenhausen)",,http://www.ibh-tga.de,info@ibh-tga.de,11880
Joachim Horst Neuhaus Haustechnik,"Ludwig-Richter-Str. 4 
                                                                                    
                                                                                                                
                                            60433
                                            Frankfurt
                                                                                            (Eschersheim)",,https://www.neuhaus-haustechnik.de,info@neuhaus-haustechnik.de,11880
Jochen Aufschläger GmbH,,,,,11880
